#      time         order        tairmean     top       
  0.000000000       1.0000       23.238       24.156    
  1.000000000       1.0000       23.473       23.777    
  2.000000000       1.0000       23.069       23.345    
  3.000000000       1.0000       22.815       23.058    
  4.000000000       1.0000       22.641       22.887    
  5.000000000       1.0000       22.511       22.737    
  6.000000000       1.0000       22.405       22.618    
  7.000000000       1.0000       22.317       22.534    
  8.000000000       1.0000       22.252       22.460    
  9.000000000       1.0000       22.382       22.662    
  10.00000000       1.0000       22.689       22.908    
  11.00000000       1.0000       22.548       22.767    
  12.00000000       1.0000       22.488       22.707    
  13.00000000       1.0000       22.447       22.666    
  14.00000000       1.0000       22.359       22.569    
  15.00000000       1.0000       22.250       22.449    
  16.00000000       1.0000       22.142       22.348    
  17.00000000       1.0000       22.065       22.261    
  18.00000000       1.0000       22.004       22.192    
  19.00000000       1.0000       21.949       22.138    
  20.00000000       1.0000       21.899       22.083    
  21.00000000       1.0000       21.850       22.027    
  22.00000000       1.0000       21.807       21.987    
  23.00000000       1.0000       21.759       21.934    
  24.00000000       1.0000       21.728       21.898    
  25.00000000       1.0000       21.694       21.863    
  26.00000000       1.0000       21.657       21.822    
  27.00000000       1.0000       21.624       21.791    
  28.00000000       1.0000       21.585       21.748    
  29.00000000       1.0000       21.543       21.701    
  30.00000000       1.0000       21.502       21.663    
  31.00000000       1.0000       21.456       21.613    
  32.00000000       1.0000       21.416       21.574    
  33.00000000       1.0000       21.767       22.225    
  34.00000000       1.0000       21.908       22.148    
  35.00000000       1.0000       22.017       22.266    
  36.00000000       1.0000       22.001       22.219    
  37.00000000       1.0000       21.869       22.063    
  38.00000000       1.0000       21.962       22.126    
  39.00000000       1.0000       21.635       21.799    
  40.00000000       1.0000       21.426       21.606    
  41.00000000       1.0000       21.274       21.440    
  42.00000000       1.0000       21.159       21.312    
  43.00000000       1.0000       21.060       21.216    
  44.00000000       1.0000       20.992       21.141    
  45.00000000       1.0000       20.993       21.124    
  46.00000000       1.0000       20.994       21.113    
  47.00000000       1.0000       20.995       21.103    
  48.00000000       1.0000       20.995       21.093    
  49.00000000       1.0000       20.996       21.088    
  50.00000000       1.0000       20.996       21.080    
  51.00000000       1.0000       20.997       21.076    
  52.00000000       1.0000       20.997       21.071    
  53.00000000       1.0000       20.997       21.066    
  54.00000000       1.0000       20.996       21.059    
  55.00000000       1.0000       20.997       21.055    
  56.00000000       1.0000       20.999       21.054    
  57.00000000       1.0000       21.159       21.423    
  58.00000000       1.0000       21.113       21.302    
  59.00000000       1.0000       21.216       21.412    
